name1	idx1	length1	mid1	trans1	cis1	bias1	name2	idx2	length2	mid2	trans2	cis2	bias2	n	d	D	bias	df	expected	p	padj
V:10673-11133	19	460	10903	0	1	1.0	V:17425463-17425962	33537	499	17425712	133	826	95.17378228111599	1	33518	17414809	95.17378228111599	0.0	0.0	1.0	1.0
V:14380-14879	25	499	14629	0	1	1.0	V:17132786-17133285	32960	499	17133035	127	580	83.6138195166362	1	32935	17118406	83.6138195166362	0.0	0.0	1.0	1.0
V:116737-117236	222	499	116986	0	1	1.0	V:17431091-17431590	33548	499	17431340	72	451	54.954087385762456	1	33326	17314354	54.954087385762456	0.0	0.0	1.0	1.0
V:128335-128834	244	499	128584	0	1	1.0	V:17425975-17426474	33538	499	17426224	113	850	88.08658003433082	1	33294	17297640	88.08658003433082	0.0	0.0	1.0	1.0
V:1089070-1089569	2112	499	1089319	0	1	1.0	V:17133289-17133788	32961	499	17133538	100	531	118.55486174567079	1	30849	16044219	118.55486174567079	0.0	0.0	1.0	1.0
V:1092159-1092658	2118	499	1092408	0	1	1.0	V:17111893-17112392	32919	499	17112142	97	473	55.90905471071523	1	30801	16019734	55.90905471071523	0.0	0.0	1.0	1.0
V:1093389-1093888	2120	499	1093638	0	1	1.0	V:17433143-17433642	33552	499	17433392	77	480	56.86159073932497	1	31432	16339754	56.86159073932497	0.0	0.0	1.0	1.0
V:1112941-1113440	2158	499	1113190	0	1	1.0	V:17132786-17133285	32960	499	17133035	127	580	83.6138195166362	1	30802	16019845	83.6138195166362	0.0	0.0	1.0	1.0
V:1150190-1150675	2229	485	1150432	0	1	1.0	V:17432630-17433129	33551	499	17432879	78	438	52.0740352376931	1	31322	16282447	52.0740352376931	0.0	0.0	1.0	1.0
V:1179180-1179679	2286	499	1179429	0	1	1.0	V:17134295-17134794	32963	499	17134544	139	710	85.40711198758362	1	30677	15955115	85.40711198758362	0.0	0.0	1.0	1.0
V:1240211-1240665	2403	454	1240438	0	1	1.0	V:17433656-17434155	33553	499	17433905	84	431	55.43187834500954	1	31150	16193467	55.43187834500954	0.0	0.0	1.0	1.0
V:1243946-1244388	2409	442	1244167	0	1	1.0	V:17113893-17114392	32923	499	17114142	124	578	72.26814269755536	1	30514	15869975	72.26814269755536	0.0	0.0	1.0	1.0
V:1244849-1245348	2411	499	1245098	0	1	1.0	V:17429039-17429538	33544	499	17429288	91	524	62.059335505776026	1	31133	16184190	62.059335505776026	0.0	0.0	1.0	1.0
V:1359277-1359776	2631	499	1359526	0	1	1.0	V:17111893-17112392	32919	499	17112142	97	473	55.90905471071523	1	30288	15752616	55.90905471071523	0.0	0.0	1.0	1.0
V:1372444-1372943	2656	499	1372693	0	1	1.0	V:17430065-17430564	33546	499	17430314	71	428	52.0740352376931	1	30890	16057621	52.0740352376931	0.0	0.0	1.0	1.0
V:1383822-1384230	2679	408	1384026	0	1	1.0	V:17135804-17136303	32966	499	17136053	140	735	90.75392190127378	1	30287	15752027	90.75392190127378	0.0	0.0	1.0	1.0
V:1393130-1393629	2698	499	1393379	0	1	1.0	V:17429552-17430051	33545	499	17429801	115	524	56.86159073932497	1	30847	16036422	56.86159073932497	0.0	0.0	1.0	1.0
V:1393647-1394146	2699	499	1393896	0	1	1.0	V:17430578-17431077	33547	499	17430827	88	464	48.196294848584124	1	30848	16036931	48.196294848584124	0.0	0.0	1.0	1.0
