chrom	start	end	name	idx	length	mid	cis	trans	peak	bias
I	4127	4601	I:4127-4601	8	474	4364	1	0	False	1.0
I	15256	15651	I:15256-15651	29	395	15453	1	0	False	1.0
I	27403	27902	I:27403-27902	52	499	27652	1	0	False	1.0
I	38812	39311	I:38812-39311	73	499	39061	1	0	False	1.0
I	52943	53442	I:52943-53442	100	499	53192	1	0	False	1.0
I	85686	86185	I:85686-86185	163	499	85935	1	0	False	1.0
I	86190	86689	I:86190-86689	164	499	86439	1	0	False	1.0
I	98405	98904	I:98405-98904	187	499	98654	1	0	False	1.0
I	105022	105521	I:105022-105521	200	499	105271	1	0	False	1.0
I	107567	108066	I:107567-108066	205	499	107816	1	0	False	1.0
I	108758	109257	I:108758-109257	207	499	109007	1	0	False	1.0
I	109429	109928	I:109429-109928	208	499	109678	1	0	False	1.0
I	111032	111531	I:111032-111531	211	499	111281	1	0	False	1.0
I	113039	113528	I:113039-113528	215	489	113283	1	0	False	1.0
I	115542	116041	I:115542-116041	220	499	115791	1	0	False	1.0
I	130262	130714	I:130262-130714	247	452	130488	1	0	False	1.0
I	136965	137464	I:136965-137464	260	499	137214	1	0	False	1.0
I	141501	142000	I:141501-142000	269	499	141750	1	0	False	1.0
I	163172	163671	I:163172-163671	311	499	163421	1	0	False	1.0
I	165714	166213	I:165714-166213	316	499	165963	1	0	False	1.0
I	167317	167816	I:167317-167816	319	499	167566	1	0	False	1.0
I	173089	173532	I:173089-173532	330	443	173310	1	0	False	1.0
I	173539	174038	I:173539-174038	331	499	173788	1	1	False	1.0
I	176099	176598	I:176099-176598	336	499	176348	1	0	False	1.0
I	180002	180501	I:180002-180501	342	499	180251	1	0	False	1.0
I	181486	181969	I:181486-181969	345	483	181727	1	0	False	1.0
I	181970	182469	I:181970-182469	346	499	182219	1	0	False	1.0
I	194587	195086	I:194587-195086	370	499	194836	1	0	False	1.0
I	205306	205805	I:205306-205805	390	499	205555	1	0	False	1.0
I	221092	221591	I:221092-221591	421	499	221341	1	0	False	1.0
I	237038	237537	I:237038-237537	451	499	237287	1	0	False	1.0
I	237550	237953	I:237550-237953	452	403	237751	1	0	False	1.0
I	264603	265102	I:264603-265102	505	499	264852	1	0	False	1.0
I	277918	278417	I:277918-278417	528	499	278167	1	0	False	1.0
I	301927	302426	I:301927-302426	571	499	302176	1	0	False	1.0
I	302443	302942	I:302443-302942	572	499	302692	2	0	True	1.0
I	306742	307241	I:306742-307241	580	499	306991	1	0	False	1.0
I	344722	345221	I:344722-345221	654	499	344971	1	0	False	1.0
I	345222	345721	I:345222-345721	655	499	345471	1	0	False	1.0
I	375137	375636	I:375137-375636	715	499	375386	1	0	False	1.0
I	379292	379791	I:379292-379791	723	499	379541	1	0	False	1.0
I	379824	380323	I:379824-380323	724	499	380073	1	0	False	1.0
I	394058	394557	I:394058-394557	752	499	394307	1	0	False	1.0
I	398289	398788	I:398289-398788	759	499	398538	1	0	False	1.0
I	398799	399298	I:398799-399298	760	499	399048	1	1	False	1.0
I	402404	402903	I:402404-402903	767	499	402653	1	0	False	1.0
I	422969	423468	I:422969-423468	808	499	423218	1	0	False	1.0
I	426189	426688	I:426189-426688	814	499	426438	1	0	False	1.0
I	430036	430535	I:430036-430535	821	499	430285	1	0	False	1.0
I	436749	437248	I:436749-437248	833	499	436998	2	0	True	1.0
I	449289	449788	I:449289-449788	855	499	449538	1	0	False	1.0
I	459386	459885	I:459386-459885	873	499	459635	1	0	False	1.0
I	459915	460414	I:459915-460414	874	499	460164	1	0	False	1.0
I	466181	466680	I:466181-466680	886	499	466430	1	0	False	1.0
I	466703	467202	I:466703-467202	887	499	466952	1	0	False	1.0
