name1	idx1	length1	mid1	trans1	cis1	bias1	name2	idx2	length2	mid2	trans2	cis2	bias2	n	d	D	bias	df	expected	p	padj
I:4127-4601	8	474	4364	0	1	1.0	I:6166571-6167019	11868	448	6166795	174	452	86.74839194369633	1	11860	6162431	86.74839194369633	0.0	0.0	1.0	1.0
I:15256-15651	29	395	15453	0	1	1.0	I:6166010-6166509	11867	499	6166259	195	531	98.24944638256676	1	11838	6150806	98.24944638256676	0.0	0.0	1.0	1.0
I:27403-27902	52	499	27652	0	1	1.0	I:6170344-6170843	11876	499	6170593	151	376	66.72855361206211	1	11824	6142941	66.72855361206211	0.0	0.0	1.0	1.0
I:105022-105521	200	499	105271	0	1	1.0	I:6173175-6173557	11881	382	6173366	168	440	73.64298625866415	1	11681	6068095	73.64298625866415	0.0	0.0	1.0	1.0
I:107567-108066	205	499	107816	0	1	1.0	I:6170344-6170843	11876	499	6170593	151	376	66.72855361206211	1	11671	6062777	66.72855361206211	0.0	0.0	1.0	1.0
I:108758-109257	207	499	109007	0	1	1.0	I:6166010-6166509	11867	499	6166259	195	531	98.24944638256676	1	11660	6057252	98.24944638256676	0.0	0.0	1.0	1.0
I:109429-109928	208	499	109678	0	1	1.0	I:6170857-6171356	11877	499	6171106	219	507	97.3721722862818	1	11669	6061428	97.3721722862818	0.0	0.0	1.0	1.0
I:111032-111531	211	499	111281	0	1	1.0	I:6169818-6170317	11875	499	6170067	155	390	76.38128923568938	1	11664	6058786	76.38128923568938	0.0	0.0	1.0	1.0
I:113039-113528	215	489	113283	0	1	1.0	I:6164336-6164712	11864	376	6164524	186	488	88.97701787982274	1	11649	6051241	88.97701787982274	0.0	0.0	1.0	1.0
I:115542-116041	220	499	115791	0	1	1.0	I:6170344-6170843	11876	499	6170593	151	376	66.72855361206211	1	11656	6054802	66.72855361206211	0.0	0.0	1.0	1.0
I:130262-130714	247	452	130488	0	1	1.0	I:15055895-15056394	28947	499	15056144	209	462	103.92381985533598	1	28700	14925656	103.92381985533598	0.0	0.0	1.0	1.0
I:136965-137464	260	499	137214	0	1	1.0	I:6164772-6165271	11865	499	6165021	201	500	109.55224407574515	1	11605	6027807	109.55224407574515	0.0	0.0	1.0	1.0
I:141501-142000	269	499	141750	0	1	1.0	I:6171459-6171958	11878	499	6171708	206	556	111.7054447583833	1	11609	6029958	111.7054447583833	0.0	0.0	1.0	1.0
I:163172-163671	311	499	163421	0	1	1.0	I:6168771-6169270	11873	499	6169020	187	445	83.16460174821778	1	11562	6005599	83.16460174821778	0.0	0.0	1.0	1.0
I:173089-173532	330	443	173310	0	1	1.0	I:6164336-6164712	11864	376	6164524	186	488	88.97701787982274	1	11534	5991214	88.97701787982274	0.0	0.0	1.0	1.0
I:173539-174038	331	499	173788	1	1	1.0	I:6165391-6165890	11866	499	6165640	215	496	105.66038748007179	1	11535	5991852	105.66038748007179	0.0	0.0	1.0	1.0
I:180002-180501	342	499	180251	0	1	1.0	I:6167020-6167437	11869	417	6167228	135	359	57.811748246105836	1	11527	5986977	57.811748246105836	0.0	0.0	1.0	1.0
I:181486-181969	345	483	181727	0	1	1.0	I:6173558-6174040	11882	482	6173799	131	355	66.26388064409318	1	11537	5992072	66.26388064409318	0.0	0.0	1.0	1.0
I:181970-182469	346	499	182219	0	1	1.0	I:6167789-6168171	11871	382	6167980	152	422	75.47017692712029	1	11525	5985761	75.47017692712029	0.0	0.0	1.0	1.0
I:194587-195086	370	499	194836	0	1	1.0	I:6165391-6165890	11866	499	6165640	215	496	105.66038748007179	1	11496	5970804	105.66038748007179	0.0	0.0	1.0	1.0
I:205306-205805	390	499	205555	0	1	1.0	I:6171459-6171958	11878	499	6171708	206	556	111.7054447583833	1	11488	5966153	111.7054447583833	0.0	0.0	1.0	1.0
I:237038-237537	451	499	237287	0	1	1.0	I:6172793-6173174	11880	381	6172983	192	534	99.12555153769702	1	11429	5935696	99.12555153769702	0.0	0.0	1.0	1.0
