name1	idx1	length1	mid1	trans1	cis1	bias1	name2	idx2	length2	mid2	trans2	cis2	bias2	n	d	D	bias	df	expected	p	padj
I:5600-6099	11	499	5849	0	1	1.0	I:6167789-6168171	11871	382	6167980	61	168	3.3403516777134774	1	11860	6162131	3.3403516777134774	0.0	0.0	1.0	1.0
I:14076-14575	27	499	14325	0	2	1.0	I:6174041-6174540	11883	499	6174290	13	68	1.827662900458801	2	11856	6159965	1.827662900458801	0.0	0.0	1.0	1.0
I:15256-15651	29	395	15453	0	2	1.0	I:6163960-6164335	11863	375	6164147	794	751	12.957333377897633	2	11834	6148694	12.957333377897633	0.0	0.0	1.0	1.0
I:40153-40652	75	499	40402	0	1	1.0	I:6166571-6167019	11868	448	6166795	140	530	2.60073134273476	1	11793	6126393	2.60073134273476	0.0	0.0	1.0	1.0
I:112622-113038	214	416	112830	2	1	1.0	I:6168771-6169270	11873	499	6169020	46	129	4.753260189176723	1	11659	6056190	4.753260189176723	0.0	0.0	1.0	1.0
I:118632-119131	226	499	118881	0	1	1.0	I:6169305-6169804	11874	499	6169554	64	143	1.827662900458801	1	11648	6050673	1.827662900458801	0.0	0.0	1.0	1.0
I:122233-122732	233	499	122482	0	2	1.0	I:6164336-6164712	11864	376	6164524	203	475	5.435447368396396	2	11631	6042042	5.435447368396396	0.0	0.0	1.0	1.0
I:133412-133911	253	499	133661	0	2	1.0	I:15056859-15057358	28949	499	15057108	49	93	5.435447368396396	2	28696	14923447	5.435447368396396	0.0	0.0	1.0	1.0
I:146549-147048	279	499	146798	0	1	1.0	I:6168771-6169270	11873	499	6169020	46	129	4.753260189176723	1	11594	6022222	4.753260189176723	0.0	0.0	1.0	1.0
I:151569-152068	289	499	151818	0	1	1.0	I:6167020-6167437	11869	417	6167228	74	236	4.753260189176723	1	11580	6015410	4.753260189176723	0.0	0.0	1.0	1.0
I:175075-175574	334	499	175324	0	2	1.0	I:6172126-6172625	11879	499	6172375	46	127	2.60073134273476	2	11545	5997051	2.60073134273476	0.0	0.0	1.0	1.0
I:256239-256738	490	499	256488	0	2	1.0	I:6170857-6171356	11877	499	6171106	123	431	1.0	2	11387	5914618	1.0	0.0	0.0	1.0	1.0
I:342315-342768	649	453	342541	0	1	1.0	I:6165391-6165890	11866	499	6165640	52	161	8.05400020058745	1	11217	5823099	8.05400020058745	0.0	0.0	1.0	1.0
I:346222-346721	657	499	346471	0	1	1.0	I:6174041-6174540	11883	499	6174290	13	68	1.827662900458801	1	11226	5827819	1.827662900458801	0.0	0.0	1.0	1.0
