name1	idx1	length1	mid1	trans1	cis1	bias1	name2	idx2	length2	mid2	trans2	cis2	bias2	n	d	D	bias	df	expected	p	padj
V:117772-118271	224	499	118021	0	1	1.0	V:17425463-17425962	33537	499	17425712	15	106	5.435447368396396	1	33313	17307691	5.435447368396396	0.0	0.0	1.0	1.0
V:1132628-1133127	2196	499	1132877	0	1	1.0	V:17114893-17115392	32925	499	17115142	60	78	33.18360640334174	1	30729	15982265	33.18360640334174	0.0	0.0	1.0	1.0
V:1133763-1134262	2198	499	1134012	0	1	1.0	V:17427511-17428010	33541	499	17427760	38	116	6.105036835842236	1	31343	16293748	6.105036835842236	0.0	0.0	1.0	1.0
V:1149667-1150166	2228	499	1149916	1	1	1.0	V:17133289-17133788	32961	499	17133538	7	67	6.105036835842236	1	30733	15983622	6.105036835842236	0.0	0.0	1.0	1.0
V:1154959-1155278	2239	319	1155118	0	1	1.0	V:17133792-17134291	32962	499	17134041	30	156	8.68735730398608	1	30723	15978923	8.68735730398608	0.0	0.0	1.0	1.0
V:1159997-1160496	2249	499	1160246	0	1	1.0	V:17117346-17117840	32930	494	17117593	32	83	4.753260189176723	1	30681	15957347	4.753260189176723	0.0	0.0	1.0	1.0
V:1248047-1248546	2417	499	1248296	0	2	1.0	V:17113393-17113892	32922	499	17113642	66	123	36.76429802727879	1	30505	15865346	36.76429802727879	0.0	0.0	1.0	1.0
V:1248047-1248546	2417	499	1248296	0	2	1.0	V:17114893-17115392	32925	499	17115142	60	78	33.18360640334174	1	30508	15866846	33.18360640334174	0.0	0.0	1.0	1.0
V:1360277-1360776	2633	499	1360526	0	1	1.0	V:17133289-17133788	32961	499	17133538	7	67	6.105036835842236	1	30328	15773012	6.105036835842236	0.0	0.0	1.0	1.0
V:1393130-1393629	2698	499	1393379	0	2	1.0	V:17431091-17431590	33548	499	17431340	42	120	8.68735730398608	2	30850	16037961	8.68735730398608	0.0	0.0	1.0	1.0
V:1562044-1562530	3016	486	1562287	0	1	1.0	V:17430065-17430564	33546	499	17430314	28	119	5.435447368396396	1	30530	15868027	5.435447368396396	0.0	0.0	1.0	1.0
V:1592186-1592685	3074	499	1592435	0	1	1.0	V:17134295-17134794	32963	499	17134544	33	134	6.105036835842236	1	29889	15542109	6.105036835842236	0.0	0.0	1.0	1.0
V:1613010-1613509	3114	499	1613259	0	1	1.0	V:17135804-17136303	32966	499	17136053	18	112	3.3403516777134774	1	29852	15522794	3.3403516777134774	0.0	0.0	1.0	1.0
V:1614513-1615012	3117	499	1614762	0	2	1.0	V:17135301-17135800	32965	499	17135550	26	106	6.105036835842236	2	29848	15520788	6.105036835842236	0.0	0.0	1.0	1.0
V:1616517-1617016	3121	499	1616766	0	2	1.0	V:17114893-17115392	32925	499	17115142	60	78	33.18360640334174	2	29804	15498376	33.18360640334174	0.0	0.0	1.0	1.0
V:1740912-1741411	3364	499	1741161	0	1	1.0	V:17430578-17431077	33547	499	17430827	28	121	4.056055638678365	1	30183	15689666	4.056055638678365	0.0	0.0	1.0	1.0
V:10007866-10008365	19283	499	10008115	0	2	1.0	V:17111393-17111892	32918	499	17111642	46	107	3.3403516777134774	2	13635	7103527	3.3403516777134774	0.0	0.0	1.0	1.0
V:10015207-10015637	19296	430	10015422	0	1	1.0	V:17426999-17427498	33540	499	17427248	15	104	6.105036835842236	1	14244	7411826	6.105036835842236	0.0	0.0	1.0	1.0
V:10025645-10026133	19315	488	10025889	0	1	1.0	V:17114393-17114892	32924	499	17114642	55	71	6.105036835842236	1	13609	7088753	6.105036835842236	0.0	0.0	1.0	1.0
V:10100552-10101051	19456	499	10100801	0	2	1.0	V:17111893-17112392	32919	499	17112142	30	128	6.105036835842236	2	13463	7011341	6.105036835842236	0.0	0.0	1.0	1.0
V:10148276-10148775	19545	499	10148525	0	1	1.0	V:17117346-17117840	32930	494	17117593	32	83	4.753260189176723	1	13385	6969068	4.753260189176723	0.0	0.0	1.0	1.0
V:10162451-10162950	19573	499	10162700	0	1	1.0	V:17425463-17425962	33537	499	17425712	15	106	5.435447368396396	1	13964	7263012	5.435447368396396	0.0	0.0	1.0	1.0
V:10192689-10193188	19631	499	10192938	0	1	1.0	V:17132786-17133285	32960	499	17133035	51	108	8.68735730398608	1	13329	6940097	8.68735730398608	0.0	0.0	1.0	1.0
V:10290583-10291082	19818	499	10290832	0	3	1.0	V:17134295-17134794	32963	499	17134544	33	134	6.105036835842236	1	13145	6843712	6.105036835842236	0.0	0.0	1.0	1.0
V:10290583-10291082	19818	499	10290832	0	3	1.0	V:17423927-17424426	33534	499	17424176	19	125	8.05400020058745	2	13716	7133344	8.05400020058745	0.0	0.0	1.0	1.0
V:10338523-10339022	19910	499	10338772	0	1	1.0	V:17111893-17112392	32919	499	17112142	30	128	6.105036835842236	1	13009	6773370	6.105036835842236	0.0	0.0	1.0	1.0
V:10414233-10414732	20056	499	10414482	0	1	1.0	V:17431604-17432103	33549	499	17431853	38	93	2.60073134273476	1	13493	7017371	2.60073134273476	0.0	0.0	1.0	1.0
V:10418769-10419268	20065	499	10419018	0	2	1.0	V:17134295-17134794	32963	499	17134544	33	134	6.105036835842236	1	12898	6715526	6.105036835842236	0.0	0.0	1.0	1.0
V:10418769-10419268	20065	499	10419018	0	2	1.0	V:17423927-17424426	33534	499	17424176	19	125	8.05400020058745	1	13469	7005158	8.05400020058745	0.0	0.0	1.0	1.0
V:10424853-10425352	20076	499	10425102	0	2	1.0	V:17134295-17134794	32963	499	17134544	33	134	6.105036835842236	2	12887	6709442	6.105036835842236	0.0	0.0	1.0	1.0
V:10444684-10445183	20112	499	10444933	0	1	1.0	V:17110893-17111392	32917	499	17111142	22	90	4.056055638678365	1	12805	6666209	4.056055638678365	0.0	0.0	1.0	1.0
V:10455183-10455682	20132	499	10455432	0	2	1.0	V:17110893-17111392	32917	499	17111142	22	90	4.056055638678365	2	12785	6655710	4.056055638678365	0.0	0.0	1.0	1.0
V:10472224-10472636	20163	412	10472430	0	1	1.0	V:17117346-17117840	32930	494	17117593	32	83	4.753260189176723	1	12767	6645163	4.753260189176723	0.0	0.0	1.0	1.0
V:10547747-10548246	20305	499	10547996	0	1	1.0	V:17431091-17431590	33548	499	17431340	42	120	8.68735730398608	1	13243	6883344	8.68735730398608	0.0	0.0	1.0	1.0
V:10586915-10587414	20378	499	10587164	0	1	1.0	V:17134295-17134794	32963	499	17134544	33	134	6.105036835842236	1	12585	6547380	6.105036835842236	0.0	0.0	1.0	1.0
V:10662574-10663073	20524	499	10662823	0	2	1.0	V:17113893-17114392	32923	499	17114142	68	90	6.105036835842236	2	12399	6451319	6.105036835842236	0.0	0.0	1.0	1.0
V:10663671-10664170	20526	499	10663920	0	1	1.0	V:17116352-17116845	32928	493	17116598	41	77	5.435447368396396	1	12402	6452678	5.435447368396396	0.0	0.0	1.0	1.0
V:10672703-10673118	20543	415	10672910	0	1	1.0	V:17432117-17432616	33550	499	17432366	26	113	4.056055638678365	1	13007	6759456	4.056055638678365	0.0	0.0	1.0	1.0
V:10684500-10684999	20564	499	10684749	0	1	1.0	V:17114893-17115392	32925	499	17115142	60	78	33.18360640334174	7	12361	6430393	33.18360640334174	0.0	0.0	1.0	1.0
V:10707788-10708287	20605	499	10708037	0	1	1.0	V:17112893-17113392	32921	499	17113142	34	104	4.753260189176723	1	12316	6405105	4.753260189176723	0.0	0.0	1.0	1.0
V:10718953-10719371	20627	418	10719162	0	1	1.0	V:17429552-17430051	33545	499	17429801	34	122	6.105036835842236	1	12918	6710639	6.105036835842236	0.0	0.0	1.0	1.0
V:10728915-10729368	20646	453	10729141	0	1	1.0	V:17133289-17133788	32961	499	17133538	7	67	6.105036835842236	1	12315	6404397	6.105036835842236	0.0	0.0	1.0	1.0
V:10729369-10729812	20647	443	10729590	0	1	1.0	V:17114893-17115392	32925	499	17115142	60	78	33.18360640334174	1	12278	6385552	33.18360640334174	0.0	0.0	1.0	1.0
V:10733641-10734140	20654	499	10733890	0	1	1.0	V:17114893-17115392	32925	499	17115142	60	78	33.18360640334174	1	12271	6381252	33.18360640334174	0.0	0.0	1.0	1.0
V:10805938-10806437	20790	499	10806187	0	1	1.0	V:17112893-17113392	32921	499	17113142	34	104	4.753260189176723	1	12131	6306955	4.753260189176723	0.0	0.0	1.0	1.0
