chrom	start	end	name	idx	length	mid	cis	trans	peak	bias
V	10673	11133	V:10673-11133	19	460	10903	1	0	False	1.0
V	14380	14879	V:14380-14879	25	499	14629	1	0	False	1.0
V	26955	27454	V:26955-27454	48	499	27204	1	0	False	1.0
V	33219	33718	V:33219-33718	60	499	33468	1	0	False	1.0
V	39267	39766	V:39267-39766	72	499	39516	1	0	False	1.0
V	52737	53236	V:52737-53236	97	499	52986	1	0	False	1.0
V	74935	75434	V:74935-75434	140	499	75184	1	0	False	1.0
V	97751	98250	V:97751-98250	185	499	98000	1	0	False	1.0
V	98255	98754	V:98255-98754	186	499	98504	1	0	False	1.0
V	116737	117236	V:116737-117236	222	499	116986	1	0	False	1.0
V	128335	128834	V:128335-128834	244	499	128584	1	0	False	1.0
V	190231	190730	V:190231-190730	363	499	190480	1	0	False	1.0
V	211742	212241	V:211742-212241	404	499	211991	1	0	False	1.0
V	221654	222153	V:221654-222153	423	499	221903	1	0	False	1.0
V	237727	238226	V:237727-238226	455	499	237976	1	0	False	1.0
V	241333	241832	V:241333-241832	462	499	241582	1	0	False	1.0
V	247952	248451	V:247952-248451	475	499	248201	1	0	False	1.0
V	248452	248951	V:248452-248951	476	499	248701	1	0	False	1.0
V	248952	249451	V:248952-249451	477	499	249201	1	0	False	1.0
V	281637	282136	V:281637-282136	540	499	281886	1	0	False	1.0
V	295799	296298	V:295799-296298	567	499	296048	1	0	False	1.0
V	324832	325331	V:324832-325331	622	499	325081	1	0	False	1.0
V	332520	333019	V:332520-333019	636	499	332769	1	0	False	1.0
V	334150	334649	V:334150-334649	639	499	334399	1	0	False	1.0
V	336162	336661	V:336162-336661	643	499	336411	1	0	False	1.0
V	339683	340182	V:339683-340182	650	499	339932	1	0	False	1.0
V	341192	341691	V:341192-341691	653	499	341441	1	0	False	1.0
V	356823	357322	V:356823-357322	684	499	357072	1	1	False	1.0
V	387466	387965	V:387466-387965	745	499	387715	1	0	False	1.0
V	408100	408599	V:408100-408599	785	499	408349	1	0	False	1.0
V	420365	420864	V:420365-420864	810	499	420614	1	0	False	1.0
V	423905	424404	V:423905-424404	817	499	424154	1	0	False	1.0
V	424408	424907	V:424408-424907	818	499	424657	1	0	False	1.0
V	455679	456178	V:455679-456178	879	499	455928	1	0	False	1.0
V	462704	463203	V:462704-463203	893	499	462953	1	0	False	1.0
V	464225	464724	V:464225-464724	896	499	464474	1	0	False	1.0
V	473401	473900	V:473401-473900	913	499	473650	1	0	False	1.0
V	479426	479925	V:479426-479925	924	499	479675	1	0	False	1.0
V	482231	482730	V:482231-482730	929	499	482480	1	0	False	1.0
V	493159	493658	V:493159-493658	948	499	493408	1	0	False	1.0
V	496360	496859	V:496360-496859	954	499	496609	1	0	False	1.0
V	509180	509679	V:509180-509679	980	499	509429	1	0	False	1.0
V	509680	510177	V:509680-510177	981	497	509928	1	0	False	1.0
V	532514	533013	V:532514-533013	1026	499	532763	1	0	False	1.0
V	594345	594844	V:594345-594844	1147	499	594594	1	0	False	1.0
V	600458	600957	V:600458-600957	1159	499	600707	1	0	False	1.0
V	615297	615796	V:615297-615796	1187	499	615546	1	0	False	1.0
V	617412	617911	V:617412-617911	1191	499	617661	1	0	False	1.0
V	657516	658015	V:657516-658015	1268	499	657765	1	0	False	1.0
V	672936	673435	V:672936-673435	1297	499	673185	1	0	False	1.0
V	683774	684273	V:683774-684273	1319	499	684023	1	0	False	1.0
V	738211	738710	V:738211-738710	1426	499	738460	1	0	False	1.0
V	749555	750054	V:749555-750054	1448	499	749804	1	0	False	1.0
V	762438	762898	V:762438-762898	1473	460	762668	1	0	False	1.0
